Дата время;Код инструмента;ТФ;Период;Пункт;Шаг;%
26.04.2021 23:04:46;ADVM.US;MN;8;3.0;300;30.12
26.04.2021 23:04:47;AADR.US;MN;12;4.48;448;6.74
26.04.2021 23:04:47;FWDB.US;MN;12;0.3;30;1.16
26.04.2021 23:04:47;MINC.US;MN;12;0.76;76;1.56
26.04.2021 23:04:48;ACM.US;MN;12;7.92;792;11.72
26.04.2021 23:04:49;AEGN.US;MN;12;2.93;293;9.6
26.04.2021 23:04:50;AEB.US;MN;12;0.94;94;3.68
26.04.2021 23:04:50;AEHR.US;MN;12;0.63;63;26.81
26.04.2021 23:04:51;AMTX.US;MN;12;3.34;334;17.81
26.04.2021 23:04:51;AER.US;MN;12;9.53;953;16.08
26.04.2021 23:04:52;AERI.US;MN;12;3.51;351;19.46
26.04.2021 23:04:53;ACY.US;MN;12;6.57;657;56.35
26.04.2021 23:04:55;AJRD.US;MN;12;6.72;672;13.86
26.04.2021 23:04:56;AVAV.US;MN;12;19.23;1923;16.95
26.04.2021 23:04:56;ASLE.US;MN;4;3.3;330;27.45
26.04.2021 23:04:57;AES.US;MN;12;3.23;323;11.45
26.04.2021 23:04:58;AEZS.US;MN;5;0.89;89;78.07
26.04.2021 23:04:59;AMG.US;MN;12;14.67;1467;9.28
26.04.2021 23:04:59;AFMD.US;MN;12;1.64;164;14.42
26.04.2021 23:05:00;AFRM.US;MN;4;34.35;3435;44.06
26.04.2021 23:05:00;AFI.US;MN;12;1.23;123;21.58
26.04.2021 23:05:01;AFL.US;MN;12;5.76;576;10.79
26.04.2021 23:05:02;MITTpB.US;MN;12;2.52;252;10.21
26.04.2021 23:05:02;MITTpA.US;MN;12;2.58;258;10.3
26.04.2021 23:05:03;MITT.US;MN;12;1.59;159;41.73
26.04.2021 23:05:04;AGCO.US;MN;12;15.37;1537;9.85
26.04.2021 23:05:04;AGRX.US;MN;12;0.75;75;38.66
26.04.2021 23:05:05;A.US;MN;12;11.2;1120;8.15
26.04.2021 23:05:06;AGYS.US;MN;12;8.71;871;16.58
26.04.2021 23:05:07;AGIO.US;MN;12;10.9;1090;19.43
26.04.2021 23:05:07;AGLE.US;MN;12;1.66;166;19.98
26.04.2021 23:05:08;AGNC.US;MN;12;1.63;163;9.39
26.04.2021 23:05:10;AEM.US;MN;12;12.57;1257;19.09
26.04.2021 23:05:11;API.US;MN;7;20.4;2040;34.36
26.04.2021 23:05:12;AGR.US;MN;12;4.65;465;9.07
26.04.2021 23:05:13;ADC.US;MN;12;7.8;780;10.99
26.04.2021 23:05:13;ALRN.US;MN;12;0.68;68;53.97
26.04.2021 23:05:14;AIM.US;MN;12;0.92;92;41.63
26.04.2021 23:05:14;AIRI.US;MN;12;0.45;45;33.09
26.04.2021 23:05:15;AL.US;MN;12;8.63;863;17.92
26.04.2021 23:05:16;APD.US;MN;12;34.95;3495;12.04
26.04.2021 23:05:17;AIRT.US;MN;12;7.43;743;33.59
26.04.2021 23:05:17;ATSG.US;MN;12;3.4;340;12.57
26.04.2021 23:05:17;ABNB.US;MN;5;46.2;4620;26.42
26.04.2021 23:05:18;EADSY.US;MN;7;3.23;323;10.59
26.04.2021 23:05:19;AKAM.US;MN;12;13.7;1370;12.48
26.04.2021 23:05:19;AKBA.US;MN;12;2.01;201;63.21
26.04.2021 23:05:20;AKTS.US;MN;12;2.61;261;21.27
26.04.2021 23:05:21;ALG.US;MN;12;19.44;1944;12.3
26.04.2021 23:05:21;AGI.US;MN;12;1.81;181;21.05
26.04.2021 23:05:22;ALRM.US;MN;12;14.2;1420;14.99
26.04.2021 23:05:23;ALK.US;MN;12;11.57;1157;16.65
26.04.2021 23:05:23;ALSK.US;MN;12;0.45;45;13.68
26.04.2021 23:05:24;AIN.US;MN;12;12.93;1293;14.53
26.04.2021 23:05:25;ALB.US;MN;12;22.06;2206;12.93
26.04.2021 23:05:25;ACI.US;MN;7;2.45;245;13.45
26.04.2021 23:05:26;AA.US;MN;12;5.11;511;13.89
26.04.2021 23:05:27;ALDX.US;MN;12;2.3;230;20.7
26.04.2021 23:05:28;ENFR.US;MN;12;1.68;168;9.43
26.04.2021 23:05:28;AMLP.US;MN;5;3.12;312;9.64
26.04.2021 23:05:29;ALEX.US;MN;12;2.94;294;16.48
26.04.2021 23:05:29;ALX.US;MN;12;42.43;4243;15.15
26.04.2021 23:05:30;ARE.US;MN;12;16.89;1689;9.41
26.04.2021 23:05:31;ALXN.US;MN;12;16.95;1695;10.15
26.04.2021 23:05:31;AQN.US;MN;7;1.22;122;7.53
26.04.2021 23:05:32;BABA.US;MN;12;37.07;3707;15.93
26.04.2021 23:05:32;ALCO.US;MN;12;4.01;401;13.49
26.04.2021 23:05:33;ALGN.US;MN;12;73.65;7365;11.93
26.04.2021 23:05:33;ALIM.US;MN;12;2.39;239;21.89
26.04.2021 23:05:34;ALKS.US;MN;12;3.52;352;15.67
26.04.2021 23:05:35;ALLK.US;MN;12;27.11;2711;24.67
26.04.2021 23:05:35;AWF.US;MN;12;0.61;61;5.07
26.04.2021 23:05:36;Y.US;MN;12;80.73;8073;11.89
26.04.2021 23:05:36;ATI.US;MN;12;3.32;332;13.55
26.04.2021 23:05:37;ALGT.US;MN;12;33.47;3347;13.91
26.04.2021 23:05:38;ALLE.US;MN;12;14.75;1475;10.83
26.04.2021 23:05:38;ALGM.US;MN;7;5.57;557;20.74
26.04.2021 23:05:39;ALNA.US;MN;12;0.8;80;66.12
26.04.2021 23:05:39;ALE.US;MN;12;8.49;849;12.07
26.04.2021 23:05:40;ADS.US;MN;12;18.37;1837;17.25
26.04.2021 23:05:41;ARLP.US;MN;12;1.06;106;17.67
26.04.2021 23:05:41;AFB.US;MN;12;0.47;47;3.22
26.04.2021 23:05:42;AB.US;MN;12;4.48;448;10.51
26.04.2021 23:05:43;LNT.US;MN;12;5.75;575;10.22
26.04.2021 23:05:43;NCZ.US;MN;11;0.32;32;6.21
26.04.2021 23:05:44;NCV.US;MN;11;0.38;38;6.51
26.04.2021 23:05:44;ACV.US;MN;11;2.56;256;7.55
26.04.2021 23:05:45;NFJ.US;MN;11;0.73;73;4.99
26.04.2021 23:05:45;NIE.US;MN;11;1.79;179;6.08
26.04.2021 23:05:46;AESE.US;MN;5;1.14;114;42.54
26.04.2021 23:05:46;AMOT.US;MN;12;8.82;882;16.57
26.04.2021 23:05:47;ALSN.US;MN;12;6.25;625;14.19
26.04.2021 23:05:48;ALLO.US;MN;12;10.04;1004;28.57
26.04.2021 23:05:48;ALLT.US;MN;12;2.14;214;11.49
26.04.2021 23:05:49;ALVR.US;MN;8;9.16;916;38.95
26.04.2021 23:05:49;MDRX.US;MN;12;2.22;222;13.75
26.04.2021 23:05:50;ALLpB.US;MN;12;0.89;89;3.29
26.04.2021 23:05:51;ALL.US;MN;12;11.27;1127;8.99
26.04.2021 23:05:51;ALLY.US;MN;12;5.38;538;10.85
26.04.2021 23:05:52;AAU.US;MN;5;0.25;25;43.1
26.04.2021 23:05:52;ALNY.US;MN;12;28.18;2818;19.72
26.04.2021 23:05:53;QMOM.US;MN;6;8.45;845;15.04
26.04.2021 23:05:54;AOSL.US;MN;12;5.15;515;15.96
26.04.2021 23:05:54;GOOGL.US;MN;12;180.81;18081;7.83
26.04.2021 23:05:55;GOOG.US;MN;12;181.02;18102;7.78
26.04.2021 23:05:56;SMCP.US;MN;12;1.68;168;5.43
26.04.2021 23:05:56;ACES.US;MN;7;13.37;1337;17.31
26.04.2021 23:05:56;EDOG.US;MN;12;1.29;129;5.35
26.04.2021 23:05:56;EQL.US;MN;12;5.53;553;5.67
26.04.2021 23:05:57;IDOG.US;MN;12;1.61;161;5.72
26.04.2021 23:05:57;SBIO.US;MN;12;6.34;634;12.53
26.04.2021 23:05:58;SDOG.US;MN;12;3.43;343;6.51
26.04.2021 23:05:58;ALTR.US;MN;12;7.5;750;11.03
26.04.2021 23:05:59;AYX.US;MN;12;36.81;3681;42.06
26.04.2021 23:06:00;ATUS.US;MN;12;4.47;447;12.72
26.04.2021 23:06:00;ASPS.US;MN;12;2.63;263;40.71
26.04.2021 23:06:01;AIMC.US;MN;12;10.36;1036;16.16
26.04.2021 23:06:02;MO.US;MN;12;4.96;496;10.5
26.04.2021 23:06:02;ACH.US;MN;12;1.75;175;13.24
26.04.2021 23:06:04;AMZN.US;MN;12;392.99;39299;11.53
26.04.2021 23:06:05;AMBA.US;MN;12;17.71;1771;16.97
26.04.2021 23:06:05;AMBC.US;MN;12;3.23;323;18.78
26.04.2021 23:06:06;ABEV.US;MN;12;0.53;53;18.47
26.04.2021 23:06:07;AMC.US;MN;12;4.99;499;43.39
26.04.2021 23:06:08;AMCX.US;MN;12;13.24;1324;25.31
26.04.2021 23:06:08;DIT.US;MN;12;20.99;2099;14.78
26.04.2021 23:06:09;DOX.US;MN;12;7.26;726;9.26
26.04.2021 23:06:09;AMED.US;MN;12;38.27;3827;13.27
26.04.2021 23:06:10;AXL.US;MN;12;2.3;230;23.35
26.04.2021 23:06:11;AEO.US;MN;12;3.67;367;10.33
26.04.2021 23:06:12;AEL.US;MN;12;5.56;556;17.72
26.04.2021 23:06:13;AFG.US;MN;12;14.35;1435;11.69
26.04.2021 23:06:13;AMNB.US;MN;12;5.55;555;16.46
26.04.2021 23:06:14;ARL.US;MN;12;2.97;297;35.61
26.04.2021 23:06:14;AMRB.US;MN;12;1.89;189;9.47
26.04.2021 23:06:15;AMSWA.US;MN;12;3.18;318;15.57
26.04.2021 23:06:15;AWR.US;MN;12;8.21;821;10.21
26.04.2021 23:06:16;AMSC.US;MN;12;5.12;512;28.85
26.04.2021 23:06:17;AVD.US;MN;12;2.49;249;12.49
26.04.2021 23:06:17;AMWD.US;MN;12;16.06;1606;15.72
26.04.2021 23:06:18;UHAL.US;MN;12;56.79;5679;9.46
26.04.2021 23:06:18;AEE.US;MN;12;8.32;832;9.88
26.04.2021 23:06:19;AMRC.US;MN;12;10.56;1056;20.49
26.04.2021 23:06:20;ATAX.US;MN;12;0.63;63;11.07
26.04.2021 23:06:20;CRMT.US;MN;12;20.59;2059;13.78
26.04.2021 23:06:21;AMX.US;MN;12;1.73;173;11.83
26.04.2021 23:06:23;AAL.US;MN;12;5.23;523;23.73
26.04.2021 23:06:24;AAT.US;MN;12;5.57;557;16.14
26.04.2021 23:06:25;ACC.US;MN;12;6.32;632;13.85
26.04.2021 23:06:25;AEP.US;MN;12;9.78;978;11.16
26.04.2021 23:06:26;AXP.US;MN;12;18.83;1883;12.52
26.04.2021 23:06:27;AMH.US;MN;12;2.43;243;6.75
26.04.2021 23:06:27;AIG.US;MN;12;6.7;670;14.1
26.04.2021 23:06:28;ANAT.US;MN;12;13.66;1366;12.02
26.04.2021 23:06:28;AOUT.US;MN;9;3.26;326;12.08
26.04.2021 23:06:29;APEI.US;MN;12;5.88;588;18.06
26.04.2021 23:06:29;AMS.US;MN;12;0.74;74;29.37
26.04.2021 23:06:30;AMT.US;MN;12;27.19;2719;10.75
26.04.2021 23:06:30;AWK.US;MN;12;15.9;1590;10.08
26.04.2021 23:06:31;AMWL.US;MN;6;10.22;1022;55.85
26.04.2021 23:06:31;COLD.US;MN;12;3.42;342;8.62
26.04.2021 23:06:32;AMP.US;MN;12;24.71;2471;9.97
26.04.2021 23:06:33;ABCB.US;MN;12;7.2;720;14.0
26.04.2021 23:06:33;AMSF.US;MN;12;8.3;830;13.25
26.04.2021 23:06:34;ASRV.US;MN;12;0.65;65;15.51
26.04.2021 23:06:34;ABC.US;MN;12;11.31;1131;9.45
26.04.2021 23:06:35;ATLO.US;MN;12;3.77;377;14.74
26.04.2021 23:06:36;AMST.US;MN;8;1.52;152;51.53
26.04.2021 23:06:36;AME.US;MN;12;12.81;1281;9.51
26.04.2021 23:06:37;AMGN.US;MN;12;29.8;2980;11.66
26.04.2021 23:06:37;FOLD.US;MN;12;4.23;423;41.8
26.04.2021 23:06:38;AMKR.US;MN;12;3.42;342;14.3
26.04.2021 23:06:39;AMN.US;MN;12;10.45;1045;13.05
26.04.2021 23:06:39;SWAN.US;MN;11;1.04;104;3.12
26.04.2021 23:06:40;IBUY.US;MN;12;11.98;1198;9.42
26.04.2021 23:06:40;AP.US;MN;12;1.52;152;21.5
26.04.2021 23:06:41;AMPH.US;MN;12;2.31;231;13.34
26.04.2021 23:06:42;APH.US;MN;12;19.36;1936;28.07
26.04.2021 23:06:42;AMPE.US;MN;12;0.63;63;33.69
26.04.2021 23:06:43;YYY.US;MN;12;0.82;82;4.77
26.04.2021 23:06:43;BLOK.US;MN;12;6.23;623;11.9
26.04.2021 23:06:44;AXR.US;MN;12;1.49;149;13.86
26.04.2021 23:06:45;ASYS.US;MN;12;1.27;127;11.79
26.04.2021 23:06:45;AMRS.US;MN;9;3.9;390;24.89
26.04.2021 23:06:47;ADI.US;MN;12;15.69;1569;9.77
26.04.2021 23:06:48;PLAN.US;MN;12;13.85;1385;21.56
26.04.2021 23:06:48;ANAB.US;MN;12;7.23;723;30.01
26.04.2021 23:06:49;ANDE.US;MN;12;4.42;442;15.66
26.04.2021 23:06:50;ANGI.US;MN;12;3.58;358;22.13
26.04.2021 23:06:50;ANGO.US;MN;12;2.67;267;10.63
26.04.2021 23:06:51;AU.US;MN;12;5.86;586;27.32
26.04.2021 23:06:52;BUD.US;MN;12;8.75;875;12.4
26.04.2021 23:06:54;ANIP.US;MN;12;6.78;678;20.66
26.04.2021 23:06:55;ANIK.US;MN;12;6.78;678;16.49
26.04.2021 23:06:55;NLY.US;MN;12;0.99;99;11.26
26.04.2021 23:06:56;ANPC.US;MN;12;2.76;276;53.18
26.04.2021 23:06:56;ANSS.US;MN;12;45.0;4500;11.94
26.04.2021 23:06:57;ATEX.US;MN;6;8.82;882;19.14
26.04.2021 23:06:57;AM.US;MN;12;1.66;166;18.22
26.04.2021 23:06:58;AR.US;MN;12;1.71;171;18.0
26.04.2021 23:06:59;ANTM.US;MN;12;44.2;4420;11.71
26.04.2021 23:06:59;AON.US;MN;12;24.14;2414;10.52
26.04.2021 23:07:01;APA.US;MN;12;5.32;532;28.53
26.04.2021 23:07:01;AIRC.US;MN;5;3.67;367;8.11
26.04.2021 23:07:02;AIV.US;MN;12;8.03;803;119.67
26.04.2021 23:07:03;APLS.US;MN;12;9.9;990;21.92
26.04.2021 23:07:03;APXT.US;MN;5;3.4;340;30.8
26.04.2021 23:07:04;APHA.US;MN;12;3.86;386;26.12
26.04.2021 23:07:05;APOG.US;MN;12;5.28;528;14.7
