Дата время;Код инструмента;ТФ;Период;Пункт;Шаг;%
26.04.2021 20:18:27;MINC.US;W;48;0.36;36;0.74
26.04.2021 20:18:29;ACM.US;W;48;3.14;314;4.63
26.04.2021 20:18:30;AEGN.US;W;48;1.59;159;5.17
26.04.2021 20:18:32;AEB.US;W;48;0.51;51;2.0
26.04.2021 20:18:33;AEHR.US;W;48;0.36;36;15.38
26.04.2021 20:18:35;AMTX.US;W;48;1.89;189;10.18
26.04.2021 20:18:37;AER.US;W;48;4.36;436;7.36
26.04.2021 20:18:39;AERI.US;W;48;1.76;176;9.81
26.04.2021 20:18:41;ACY.US;W;48;2.46;246;23.54
26.04.2021 20:18:43;AJRD.US;W;48;2.42;242;4.99
26.04.2021 20:18:45;AVAV.US;W;48;9.78;978;8.67
26.04.2021 20:18:45;ASLE.US;W;17;1.71;171;14.21
26.04.2021 20:18:47;AES.US;W;48;1.56;156;5.56
26.04.2021 20:18:48;AEZS.US;W;22;0.34;34;31.19
26.04.2021 20:18:50;AMG.US;W;48;6.76;676;4.28
26.04.2021 20:18:52;AFMD.US;W;48;0.85;85;7.43
26.04.2021 20:18:52;AFRM.US;W;16;18.1;1810;23.52
26.04.2021 20:18:54;AFI.US;W;48;0.8;80;13.99
26.04.2021 20:18:56;AFL.US;W;48;2.24;224;4.18
26.04.2021 20:18:57;MITTpB.US;W;48;1.19;119;4.82
26.04.2021 20:18:59;MITTpA.US;W;48;1.24;124;4.96
26.04.2021 20:19:00;MITT.US;W;48;0.55;55;14.36
26.04.2021 20:19:02;AGCO.US;W;48;6.84;684;4.38
26.04.2021 20:19:04;AGRX.US;W;48;0.35;35;18.13
26.04.2021 20:19:05;A.US;W;48;5.39;539;3.92
26.04.2021 20:19:07;AGYS.US;W;48;4.32;432;8.21
26.04.2021 20:19:09;AGIO.US;W;48;4.76;476;8.5
26.04.2021 20:19:10;AGLE.US;W;48;1.04;104;12.32
26.04.2021 20:19:12;AGNC.US;W;48;0.6;60;3.44
26.04.2021 20:19:14;AEM.US;W;48;5.16;516;7.85
26.04.2021 20:19:14;API.US;W;29;11.07;1107;19.16
26.04.2021 20:19:15;AGR.US;W;48;2.41;241;4.71
26.04.2021 20:19:17;ADC.US;W;48;3.91;391;5.48
26.04.2021 20:19:18;ALRN.US;W;48;0.32;32;25.2
26.04.2021 20:19:20;AIM.US;W;48;0.43;43;19.46
26.04.2021 20:19:22;AIRI.US;W;48;0.23;23;17.29
26.04.2021 20:19:24;AL.US;W;48;3.6;360;7.46
26.04.2021 20:19:26;APD.US;W;48;14.87;1487;5.13
26.04.2021 20:19:27;AIRT.US;W;48;3.19;319;14.29
26.04.2021 20:19:28;ATSG.US;W;48;1.96;196;7.2
26.04.2021 20:19:29;ABNB.US;W;21;26.76;2676;15.44
26.04.2021 20:19:29;EADSY.US;W;27;1.58;158;5.18
26.04.2021 20:19:31;AKAM.US;W;48;6.26;626;5.65
26.04.2021 20:19:32;AKBA.US;W;48;0.97;97;30.89
26.04.2021 20:19:33;AKTS.US;W;48;1.44;144;11.91
26.04.2021 20:19:35;ALG.US;W;48;8.71;871;5.48
26.04.2021 20:19:37;AGI.US;W;48;0.82;82;9.6
26.04.2021 20:19:38;ALRM.US;W;48;6.94;694;7.35
26.04.2021 20:19:40;ALK.US;W;48;4.75;475;6.86
26.04.2021 20:19:41;ALSK.US;W;48;0.18;18;5.47
26.04.2021 20:19:44;AIN.US;W;48;5.31;531;5.99
26.04.2021 20:19:45;ALB.US;W;48;11.11;1111;6.52
26.04.2021 20:19:46;ACI.US;W;29;1.27;127;6.97
26.04.2021 20:19:49;AA.US;W;48;2.45;245;6.66
26.04.2021 20:19:51;ALDX.US;W;48;1.37;137;12.76
26.04.2021 20:19:52;ENFR.US;W;48;0.83;83;4.64
26.04.2021 20:19:52;AMLP.US;W;21;1.77;177;5.46
26.04.2021 20:19:54;ALEX.US;W;48;1.3;130;7.22
26.04.2021 20:19:56;ALX.US;W;48;15.55;1555;5.56
26.04.2021 20:19:57;ARE.US;W;48;7.68;768;4.28
26.04.2021 20:19:59;ALXN.US;W;48;6.5;650;3.89
26.04.2021 20:19:59;AQN.US;W;28;0.68;68;4.19
26.04.2021 20:20:02;BABA.US;W;48;17.36;1736;7.48
26.04.2021 20:20:04;ALCO.US;W;48;2.14;214;7.2
26.04.2021 20:20:05;ALGN.US;W;48;39.34;3934;6.35
26.04.2021 20:20:08;ALIM.US;W;48;1.22;122;11.21
26.04.2021 20:20:09;ALKS.US;W;48;1.67;167;7.31
26.04.2021 20:20:12;ALLK.US;W;48;12.21;1221;11.21
26.04.2021 20:20:14;AWF.US;W;48;0.23;23;1.91
26.04.2021 20:20:15;Y.US;W;48;34.85;3485;5.12
26.04.2021 20:20:18;ATI.US;W;48;1.63;163;6.75
26.04.2021 20:20:20;ALGT.US;W;48;17.05;1705;7.11
26.04.2021 20:20:22;ALLE.US;W;48;6.64;664;4.85
26.04.2021 20:20:22;ALGM.US;W;27;3.66;366;13.56
26.04.2021 20:20:24;ALNA.US;W;48;0.34;34;27.42
26.04.2021 20:20:26;ALE.US;W;48;3.7;370;5.25
26.04.2021 20:20:27;ADS.US;W;48;7.88;788;7.35
26.04.2021 20:20:29;ARLP.US;W;48;0.49;49;8.28
26.04.2021 20:20:30;AFB.US;W;48;0.27;27;1.85
26.04.2021 20:20:32;AB.US;W;48;2.02;202;4.75
26.04.2021 20:20:34;LNT.US;W;48;2.44;244;4.34
26.04.2021 20:20:35;NCZ.US;W;47;0.18;18;3.5
26.04.2021 20:20:37;NCV.US;W;47;0.2;20;3.41
26.04.2021 20:20:38;ACV.US;W;47;1.43;143;4.22
26.04.2021 20:20:40;NFJ.US;W;47;0.37;37;2.54
26.04.2021 20:20:41;NIE.US;W;47;0.99;99;3.37
26.04.2021 20:20:42;AESE.US;W;20;0.67;67;25.19
26.04.2021 20:20:43;AMOT.US;W;48;4.33;433;7.98
26.04.2021 20:20:45;ALSN.US;W;48;2.78;278;6.29
26.04.2021 20:20:46;ALLO.US;W;48;4.32;432;12.4
26.04.2021 20:20:49;ALLT.US;W;48;1.35;135;7.36
26.04.2021 20:20:50;ALVR.US;W;33;6.61;661;28.54
26.04.2021 20:20:52;MDRX.US;W;48;1.04;104;6.4
26.04.2021 20:20:54;ALLpB.US;W;48;0.51;51;1.89
26.04.2021 20:20:55;ALL.US;W;48;4.79;479;3.82
26.04.2021 20:20:57;ALLY.US;W;48;2.57;257;5.16
26.04.2021 20:20:57;AAU.US;W;18;0.16;16;28.07
26.04.2021 20:20:59;ALNY.US;W;48;12.87;1287;9.21
26.04.2021 20:20:59;QMOM.US;W;26;4.72;472;8.45
26.04.2021 20:21:02;AOSL.US;W;48;3.08;308;9.63
26.04.2021 20:21:03;GOOGL.US;W;48;90.86;9086;3.93
26.04.2021 20:21:05;GOOG.US;W;48;91.08;9108;3.91
26.04.2021 20:21:05;ACES.US;W;28;7.17;717;9.31
26.04.2021 20:21:06;EDOG.US;W;48;0.57;57;2.37
26.04.2021 20:21:07;EQL.US;W;48;2.49;249;2.55
26.04.2021 20:21:09;IDOG.US;W;48;0.79;79;2.79
26.04.2021 20:21:11;SBIO.US;W;48;3.13;313;6.22
26.04.2021 20:21:13;SDOG.US;W;48;1.71;171;3.24
26.04.2021 20:21:15;ALTR.US;W;48;4.11;411;6.09
26.04.2021 20:21:17;AYX.US;W;48;15.35;1535;17.55
26.04.2021 20:21:18;ATUS.US;W;48;1.8;180;5.08
26.04.2021 20:21:20;ASPS.US;W;48;1.63;163;24.85
26.04.2021 20:21:21;AIMC.US;W;48;4.57;457;7.12
26.04.2021 20:21:22;MO.US;W;48;2.18;218;4.62
26.04.2021 20:21:24;ACH.US;W;48;0.72;72;5.49
26.04.2021 20:21:34;AMZN.US;W;48;200.87;20087;6.0
26.04.2021 20:21:36;AMBA.US;W;48;8.77;877;8.35
26.04.2021 20:21:38;AMBC.US;W;48;1.3;130;7.46
26.04.2021 20:21:39;ABEV.US;W;48;0.24;24;8.3
26.04.2021 20:21:41;AMC.US;W;48;1.84;184;16.31
26.04.2021 20:21:44;AMCX.US;W;48;5.34;534;10.38
26.04.2021 20:21:45;DIT.US;W;48;8.96;896;6.07
26.04.2021 20:21:47;DOX.US;W;48;2.97;297;3.78
26.04.2021 20:21:49;AMED.US;W;48;18.08;1808;6.31
26.04.2021 20:21:52;AXL.US;W;48;1.13;113;11.44
26.04.2021 20:21:54;AEO.US;W;48;1.89;189;5.28
26.04.2021 20:21:55;AEL.US;W;48;2.31;231;7.3
26.04.2021 20:21:57;AFG.US;W;48;5.78;578;4.68
26.04.2021 20:21:59;AMNB.US;W;48;2.26;226;6.76
26.04.2021 20:22:00;ARL.US;W;48;1.28;128;15.11
26.04.2021 20:22:01;AMRB.US;W;48;0.89;89;4.45
26.04.2021 20:22:03;AMSWA.US;W;48;1.31;131;6.39
26.04.2021 20:22:05;AWR.US;W;48;4.04;404;5.03
26.04.2021 20:22:07;AMSC.US;W;48;2.83;283;16.02
26.04.2021 20:22:09;AVD.US;W;48;1.22;122;6.08
26.04.2021 20:22:11;AMWD.US;W;48;8.06;806;7.89
26.04.2021 20:22:13;UHAL.US;W;48;26.25;2625;4.36
26.04.2021 20:22:15;AEE.US;W;48;3.54;354;4.2
26.04.2021 20:22:16;AMRC.US;W;48;5.48;548;10.64
26.04.2021 20:22:18;ATAX.US;W;48;0.35;35;6.17
26.04.2021 20:22:20;CRMT.US;W;48;9.49;949;6.31
26.04.2021 20:22:21;AMX.US;W;48;0.78;78;5.36
26.04.2021 20:22:32;AAL.US;W;48;2.27;227;10.33
26.04.2021 20:22:33;AAT.US;W;48;2.25;225;6.42
26.04.2021 20:22:34;ACC.US;W;48;2.74;274;5.94
26.04.2021 20:22:36;AEP.US;W;48;3.87;387;4.43
26.04.2021 20:22:37;AXP.US;W;48;7.29;729;4.85
26.04.2021 20:22:39;AMH.US;W;48;1.57;157;4.36
26.04.2021 20:22:40;AIG.US;W;48;2.77;277;5.79
26.04.2021 20:22:43;ANAT.US;W;48;5.3;530;4.64
26.04.2021 20:22:44;AOUT.US;W;36;2.19;219;8.14
26.04.2021 20:22:45;APEI.US;W;48;2.86;286;8.69
26.04.2021 20:22:47;AMS.US;W;48;0.41;41;16.08
26.04.2021 20:22:51;AMT.US;W;48;12.05;1205;4.75
26.04.2021 20:22:52;AWK.US;W;48;7.21;721;4.6
26.04.2021 20:22:53;AMWL.US;W;25;4.54;454;24.73
26.04.2021 20:22:54;COLD.US;W;48;1.96;196;4.96
26.04.2021 20:22:55;AMP.US;W;48;10.71;1071;4.33
26.04.2021 20:22:57;ABCB.US;W;48;3.28;328;6.33
26.04.2021 20:22:59;AMSF.US;W;48;3.9;390;6.15
26.04.2021 20:23:00;ASRV.US;W;48;0.3;30;7.19
26.04.2021 20:23:02;ABC.US;W;48;5.79;579;4.81
26.04.2021 20:23:05;ATLO.US;W;48;1.69;169;6.62
26.04.2021 20:23:06;AMST.US;W;31;0.93;93;31.42
26.04.2021 20:23:08;AME.US;W;48;5.28;528;3.92
26.04.2021 20:23:09;AMGN.US;W;48;13.08;1308;5.12
26.04.2021 20:23:11;FOLD.US;W;48;1.93;193;18.9
26.04.2021 20:23:13;AMKR.US;W;48;1.7;170;6.91
26.04.2021 20:23:15;AMN.US;W;48;4.92;492;6.17
26.04.2021 20:23:16;SWAN.US;W;47;0.57;57;1.71
26.04.2021 20:23:18;IBUY.US;W;48;6.77;677;5.33
26.04.2021 20:23:20;AP.US;W;48;0.77;77;11.02
26.04.2021 20:23:21;AMPH.US;W;48;1.23;123;7.08
26.04.2021 20:23:23;APH.US;W;48;7.05;705;10.21
26.04.2021 20:23:25;AMPE.US;W;48;0.32;32;17.2
26.04.2021 20:23:27;YYY.US;W;48;0.31;31;1.8
26.04.2021 20:23:29;BLOK.US;W;48;3.22;322;6.2
26.04.2021 20:23:30;AXR.US;W;48;0.73;73;6.64
26.04.2021 20:23:32;ASYS.US;W;48;0.84;84;7.89
26.04.2021 20:23:33;AMRS.US;W;38;2.11;211;13.48
26.04.2021 20:23:41;ADI.US;W;48;7.55;755;4.67
26.04.2021 20:23:43;PLAN.US;W;48;6.26;626;9.77
26.04.2021 20:23:46;ANAB.US;W;48;3.22;322;13.44
26.04.2021 20:23:48;ANDE.US;W;48;2.18;218;7.59
26.04.2021 20:23:50;ANGI.US;W;48;1.76;176;10.9
26.04.2021 20:23:52;ANGO.US;W;48;1.48;148;5.87
