Дата время;Код инструмента;ТФ;Период;Пункт;Шаг;%
26.04.2021 16:38:41;AERI.US;D;25;0.88;88;4.98
26.04.2021 16:38:43;ACY.US;D;25;2.04;204;20.4
26.04.2021 16:38:46;AJRD.US;D;25;0.34;34;0.7
26.04.2021 16:38:51;AVAV.US;D;25;4.4;440;3.94
26.04.2021 16:38:52;ASLE.US;D;25;0.51;51;4.18
26.04.2021 16:38:54;AES.US;D;25;0.58;58;2.04
26.04.2021 16:38:55;AEZS.US;D;25;0.1;10;9.52
26.04.2021 16:38:57;AMG.US;D;25;3.63;363;2.28
26.04.2021 16:38:59;AFMD.US;D;25;0.68;68;6.06
26.04.2021 16:39:00;AFRM.US;D;25;4.38;438;5.87
26.04.2021 16:39:04;AFI.US;D;25;0.27;27;4.9
26.04.2021 16:39:07;AFL.US;D;25;0.72;72;1.34
26.04.2021 16:39:10;MITT.US;D;25;0.17;17;4.44
26.04.2021 16:39:12;AGCO.US;D;25;3.97;397;2.56
26.04.2021 16:39:16;AGRX.US;D;25;0.11;11;6.01
26.04.2021 16:39:18;A.US;D;25;1.93;193;1.41
26.04.2021 16:39:22;AGYS.US;D;25;2.59;259;5.02
26.04.2021 16:39:25;AGIO.US;D;25;2.33;233;4.22
26.04.2021 16:39:27;AGLE.US;D;25;0.51;51;6.52
26.04.2021 16:39:31;AGNC.US;D;25;0.22;22;1.26
26.04.2021 16:39:35;AEM.US;D;25;1.28;128;1.94
26.04.2021 16:39:36;API.US;D;25;3.87;387;6.54
26.04.2021 16:39:38;AGR.US;D;25;0.84;84;1.63
26.04.2021 16:39:40;ADC.US;D;25;1.13;113;1.58
26.04.2021 16:39:43;ALRN.US;D;25;0.11;11;8.59
26.04.2021 16:39:45;AIM.US;D;25;0.11;11;5.07
26.04.2021 16:39:47;AIRI.US;D;25;0.11;11;8.33
26.04.2021 16:39:50;AL.US;D;25;1.54;154;3.22
26.04.2021 16:39:51;APD.US;D;25;5.23;523;1.81
26.04.2021 16:39:54;ATSG.US;D;25;0.86;86;3.13
26.04.2021 16:39:55;ABNB.US;D;25;7.75;775;4.42
26.04.2021 16:39:57;EADSY.US;D;25;0.43;43;1.42
26.04.2021 16:39:59;AKAM.US;D;25;1.82;182;1.7
26.04.2021 16:40:02;AKBA.US;D;25;0.19;19;6.27
26.04.2021 16:40:05;AKTS.US;D;25;0.65;65;5.47
26.04.2021 16:40:09;ALG.US;D;25;4.0;400;2.52
26.04.2021 16:40:11;AGI.US;D;25;0.26;26;3.05
26.04.2021 16:40:14;ALRM.US;D;25;3.16;316;3.38
26.04.2021 16:40:16;ALK.US;D;25;2.49;249;3.55
26.04.2021 16:40:20;ALSK.US;D;25;0.02;2;0.61
26.04.2021 16:40:23;AIN.US;D;25;2.48;248;2.82
